ticker,e_yoy_latest,e_yoy_prior,e_quarters,e_error
MU,3.457,1.963,30,
SNDK,2.51,0.612,8,
RDDT,0.691,0.679,10,
SOFI,-0.077,0.195,18,
ALB,0.327,-0.035,31,
NVDA,0.408,-0.052,12,
TSM,,,,no_usgaap_quarterly_rev
AVGO,0.479,0.295,29,
META,0.331,0.262,28,
LLY,0.555,0.539,62,
AMD,0.378,0.356,32,
PLTR,0.847,0.628,19,
PANW,0.311,0.149,30,
DELL,0.875,0.108,35,
MUFG,,,,no_usgaap_quarterly_rev
ANET,0.351,0.275,32,
MRVL,0.276,0.368,19,
APH,0.584,0.534,32,
CRWD,0.256,0.222,25,
WDC,0.455,0.252,32,
STX,0.441,0.215,27,
ADI,0.372,0.304,28,
APP,0.59,0.682,19,
BLK,0.27,0.252,8,
WELL,0.491,0.364,14,
SMFG,,,,no_usgaap_quarterly_rev
SHOP,0.343,0.315,7,
SCCO,0.362,0.152,31,
COF,0.619,0.578,25,
MFG,,,,no_usgaap_quarterly_rev
VRT,0.301,0.29,24,
NEM,0.458,0.2,31,
PWR,0.263,0.175,31,
MNST,0.269,0.168,32,
MELI,0.447,0.336,34,
DDOG,0.322,0.284,23,
SNOW,0.335,0.287,20,
CEG,0.235,0.195,10,
NET,0.335,0.307,23,
KKR,0.353,-0.243,11,
SNPS,0.419,0.655,26,
BE,1.338,0.595,22,
DASH,0.331,0.273,19,
AEM,,,,no_usgaap_quarterly_rev
CVNA,0.52,0.545,28,
ALAB,0.934,1.039,10,
MFC,,,,no_usgaap_quarterly_rev
NU,,,,no_usgaap_quarterly_rev
ET,0.321,-0.039,61,
MPWR,0.261,0.189,31,
AJG,0.277,0.199,30,
B,,,,no_usgaap_quarterly_rev
FIX,-0.043,0.01,10,
CIEN,0.395,0.331,30,
AFL,0.279,0.607,68,
SE,,,,no_usgaap_quarterly_rev
TER,0.159,0.408,18,
HPE,0.4,0.184,39,
LITE,0.16,0.097,11,
ARGX,,,,no_usgaap_quarterly_rev
RKLB,0.635,0.48,17,
KEYS,0.315,0.233,6,
NBIS,,,,no_usgaap_quarterly_rev
VST,0.177,0.101,25,
FITB,0.081,0.083,22,
WPM,,,,no_usgaap_quarterly_rev
AXON,0.337,0.306,32,
CRDO,2.015,2.721,16,
MCHP,0.156,-0.02,26,
CRWV,1.116,1.337,7,
RKT,,,,no_usgaap_quarterly_rev
IX,,,,no_usgaap_quarterly_rev
HEI,0.253,0.144,26,
AU,,,,no_usgaap_quarterly_rev
HEI-A,0.253,0.144,26,
ALNY,1.493,0.173,30,
FNV,,,,no_usgaap_quarterly_rev
RBLX,0.393,0.48,16,
NTRA,0.388,0.347,31,
CLS,0.528,0.278,7,
ARES,0.283,0.467,31,
WAT,0.915,0.068,59,
TKO,0.259,0.119,13,
HBAN,0.345,0.171,25,
MRNA,2.602,-0.454,14,
EQT,0.049,-0.288,20,
ONC,0.355,0.41,32,
ASTS,0.0,0.701,9,
LVS,0.253,0.26,37,
TECK,,,,no_usgaap_quarterly_rev
MTZ,0.345,0.22,60,
FICO,0.387,0.164,26,
KGC,,,,no_usgaap_quarterly_rev
MDB,0.252,0.187,25,
AFRM,0.227,0.325,19,
VG,0.589,2.595,7,
P,0.352,0.16,26,
NVT,0.535,0.348,32,
FTAI,0.655,0.432,32,
FWONA,0.591,0.379,30,
FWONK,0.591,0.379,30,
LPLA,0.346,0.464,59,
ZS,0.254,0.259,28,
INSM,2.296,0.524,31,
CPAY,0.254,0.139,33,
BRO,0.354,0.354,62,
OMC,0.692,0.04,65,
GH,0.483,0.385,7,
STRL,0.916,0.16,31,
IOT,0.305,0.292,16,
TEAM,0.317,0.233,15,
FIS,0.301,0.082,32,
EXE,1.002,3.577,59,
GPN,0.631,0.005,32,
BG,0.272,0.129,10,
AMCR,0.774,0.681,24,
DKS,0.627,0.363,31,
AS,,,,no_usgaap_quarterly_rev
SNX,0.31,0.181,26,
PAAS,,,,no_usgaap_quarterly_rev
LSCC,0.422,0.049,32,
IONQ,7.547,2.215,16,
BWXT,0.261,0.187,37,
RBRK,0.39,0.483,10,
FN,0.393,0.359,52,
SMCI,1.227,1.234,30,
CDE,1.378,0.769,32,
NBIX,0.422,0.278,32,
AMKR,0.275,0.067,30,
TLN,1.398,0.519,8,
KSPI,,,,no_usgaap_quarterly_rev
RGLD,1.425,0.3,30,
ITT,0.327,0.129,28,
NLY,,,,no_usgaap_quarterly_rev
QXO,127.163,207.267,9,
GMAB,,,,no_usgaap_quarterly_rev
ASND,,,,no_usgaap_quarterly_rev
SITM,0.883,0.448,27,
MEDP,0.265,0.237,31,
GEN,0.258,0.253,27,
TIGO,,,,no_usgaap_quarterly_rev
TTMI,0.304,0.221,26,
J,0.561,0.653,47,
BBIO,0.668,43.18,18,
PNFP,,,,no_usgaap_quarterly_rev
FPS,,,,no_usgaap_quarterly_rev
JHX,,,,no_usgaap_quarterly_rev
VNOM,,,,no_usgaap_quarterly_rev
ALLY,-0.05,-0.034,25,
BTSG,0.256,0.282,10,
SUN,1.064,0.049,58,
EVR,1.003,0.417,48,
IONS,0.87,0.171,28,
AUR,,,14,
AGI,,,,no_usgaap_quarterly_rev
DY,0.561,0.141,37,
AXSM,0.574,0.632,12,
ENLT,,,,no_usgaap_quarterly_rev
MOD,0.305,0.123,30,
MDGL,1.268,3.62,9,
FROG,0.258,0.255,20,
AEIS,0.263,0.238,31,
HUT,2.255,0.909,10,
NIO,,,,no_usgaap_quarterly_rev
SANM,1.023,0.59,19,
GWRE,0.269,0.24,27,
BROS,0.308,0.252,17,
FIG,0.461,0.38,6,
PODD,0.058,0.077,22,
KRYS,0.319,0.166,11,
HL,0.709,0.644,14,
PL,0.421,0.326,16,
UMBF,,,,no_usgaap_quarterly_rev
GMED,0.27,0.229,32,
TEM,0.361,0.847,9,
AR,0.438,0.15,52,
SIMO,,,,no_usgaap_quarterly_rev
CYTK,11.258,3.181,25,
ALGM,0.289,0.144,24,
SQM,,,,no_usgaap_quarterly_rev
VIAV,0.428,0.364,37,
HBM,,,,no_usgaap_quarterly_rev
ESI,0.415,0.017,31,
ONB,0.061,0.157,12,
AGX,0.502,-0.023,31,
ARW,0.39,0.13,32,
AAOI,0.514,0.821,32,
COMP,0.994,0.236,19,
FCFS,0.253,0.132,26,
PAYP,,,,no_usgaap_quarterly_rev
CTRE,,,15,
VIRT,0.233,0.174,27,
FIVE,0.325,0.231,32,
LLYVA,,,,no_usgaap_quarterly_rev
ALSN,0.836,-0.159,32,
LLYVK,,,,no_usgaap_quarterly_rev
GIL,,,,no_usgaap_quarterly_rev
HALO,0.422,0.221,25,
APLD,1.393,2.501,16,
IAG,,,,no_usgaap_quarterly_rev
OSCR,0.321,0.796,16,
KYMR,0.555,-0.261,20,
MP,0.491,-0.149,19,
COLB,,,,no_usgaap_quarterly_rev
IBRX,1.676,4.251,9,
FORM,0.32,-0.025,31,
ALKS,0.282,0.042,28,
WAL,1.922,0.612,9,
AAON,0.543,0.174,31,
AVAV,1.434,1.507,6,
ESE,0.335,0.35,29,
BMNR,0.675,0.702,13,
RRC,0.261,0.161,25,
JOBY,,805.214,10,
GKOS,0.412,0.381,34,
EGO,,,,no_usgaap_quarterly_rev
MXL,0.43,0.559,22,
AG,,,,no_usgaap_quarterly_rev
TGTX,0.696,0.928,13,
PTGX,0.99,0.008,26,
CELH,1.377,1.729,10,
MBLY,0.274,0.037,14,
LGN,,,,no_usgaap_quarterly_rev
CAVA,0.199,0.202,8,
FRO,-0.019,,6,
FSS,0.349,0.17,25,
EQX,,,,no_usgaap_quarterly_rev
TEX,0.411,0.144,23,
JBTM,0.096,1.206,24,
RYTM,0.838,0.543,8,
LOAR,0.361,0.224,10,
BVN,,,,no_usgaap_quarterly_rev
FIGR,,,,no_usgaap_quarterly_rev
RSI,0.411,0.197,19,
MIRM,0.433,0.472,18,
ECG,0.254,0.297,8,
CWAN,0.744,0.771,17,
VFS,,,,no_usgaap_quarterly_rev
CORZ,0.449,-0.149,16,
KRMN,0.51,0.417,7,
LQDA,41.585,11.217,21,
ORA,-0.068,-0.068,26,
HNGE,0.472,0.533,6,
GBCI,0.029,-0.039,6,
ACMR,0.342,0.32,23,
AVT,0.339,0.116,27,
NAVN,,,,no_usgaap_quarterly_rev
VSEC,0.268,0.389,32,
BB,0.256,-0.013,22,
RYN,2.347,0.432,27,
GVA,0.304,0.124,28,
SSRM,1.313,-0.058,9,
GLBE,,,,no_usgaap_quarterly_rev
SM,0.75,0.261,51,
GATX,0.384,0.084,61,
CHRD,0.371,-0.095,31,
KLIC,0.498,0.202,29,
TFPM,,,,no_usgaap_quarterly_rev
ROAD,0.346,0.441,26,
CGON,19.827,37.744,10,
LMND,0.706,0.424,21,
DUOL,0.265,0.411,18,
AUB,,,,no_usgaap_quarterly_rev
SEZL,0.521,0.617,10,
RGTI,0.046,-0.039,7,
CRSP,0.686,0.477,24,
TFX,0.323,0.287,34,
BMA,,,,no_usgaap_quarterly_rev
MDA,,,,HTTPError
VIST,,,,no_usgaap_quarterly_rev
OR,,,,no_usgaap_quarterly_rev
OGC,,,,no_usgaap_quarterly_rev
AX,0.793,0.715,9,
VCTR,0.767,0.601,27,
BLLN,,,,no_usgaap_quarterly_rev
AUGO,,,,no_usgaap_quarterly_rev
PRM,0.736,0.094,17,
MTRN,0.308,0.019,32,
ZETA,0.499,0.257,18,
SPHR,0.378,0.154,26,
BTG,,,,no_usgaap_quarterly_rev
TVTX,0.556,1.621,34,
BGC,0.492,0.383,25,
EBC,0.194,0.095,21,
STEP,0.73,0.672,20,
VRNS,0.256,0.258,18,
XMTR,0.359,0.275,18,
LEGN,,,,no_usgaap_quarterly_rev
PIPR,0.325,0.374,67,
RITM,0.436,-0.157,7,
RELY,0.252,0.247,17,
TKC,,,,no_usgaap_quarterly_rev
KVYO,0.279,0.322,11,
RDN,0.582,0.027,51,
ALHC,0.251,0.248,12,
TBBB,,,,no_usgaap_quarterly_rev
DAVE,0.467,0.63,16,
GLNG,,,,no_usgaap_quarterly_rev
CAI,0.788,1.134,6,
PTRN,,,,no_usgaap_quarterly_rev
