ticker,decision,entry_date,entry_px,decision_thesis,review_date,review_px,ret_pct,kpi_check,verdict,note
AGX,买入候选,2026-07-08,658.64,见theses/,,,,,待验证,
ALNY,买入候选,2026-07-08,320.3,见theses/,,,,,待验证,
CHYM,买入候选,2026-07-08,20.65,见theses/,,,,,待验证,
CTSH,买入候选,2026-07-08,43.21,见theses/,,,,,待验证,
EXE,买入候选,2026-07-08,89.65,见theses/,,,,,待验证,
HSY,买入候选,2026-07-08,176.0,见theses/,,,,,待验证,
INSM,买入候选,2026-07-08,115.19,见theses/,,,,,待验证,
KVYO,买入候选,2026-07-08,16.895,见theses/,,,,,待验证,
MCHP,买入候选,2026-07-08,84.64,见theses/,,,,,待验证,
MPWR,买入候选,2026-07-08,1307.5024,见theses/,,,,,待验证,
RDDT,买入候选,2026-07-08,193.7999,见theses/,,,,,待验证,
STRL,买入候选,2026-07-08,658.285,见theses/,,,,,待验证,
TLN,买入候选,2026-07-08,361.71,见theses/,,,,,待验证,
VSH,买入候选,2026-07-08,41.41,见theses/,,,,,待验证,
